path	line	string	context
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	462	Enter your Xtream Codes server URL and credentials. Dispatcharr users: use your 	text = "Enter your Xtream Codes server URL and credentials. Dispatcharr users: use your " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	470	Name	LabeledField(label = "Name") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	474	My IPTV Server	placeholder = "My IPTV Server",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	505	Import M3U from a file instead	ImportFileLink(label = "Import M3U from a file instead") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	531	Import XMLTV from a file instead	ImportFileLink(label = "Import XMLTV from a file instead") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	536	Paste your M3U playlist URL. Works with Dispatcharr's /output/m3u, any IPTV 	text = "Paste your M3U playlist URL. Works with Dispatcharr's /output/m3u, any IPTV " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	609	AerioTV uses this URL automatically whenever your server is reachable on 	text = "AerioTV uses this URL automatically whenever your server is reachable on " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	719	Username & Password	label = "Username & Password",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	834	Fetch On Demand from this playlist	text = "Fetch On Demand from this playlist",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	851	When off, this playlist's movies and TV shows aren't loaded into On Demand. Useful if you only want Live TV from this server, or if you have a second playlist that already provides On Demand. You can change this later in Settings.	text = "When off, this playlist's movies and TV shows aren't loaded into On Demand. Useful if you only want Live TV from this server, or if you have a second playlist that already provides On Demand. You can change this later in Settings.",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	872	Default Recording Destination	text = "Default Recording Destination",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	899	Where recordings are saved by default. Server recording requires a Dispatcharr admin account. You can change this later in Settings > DVR.	text = "Where recordings are saved by default. Server recording requires a Dispatcharr admin account. You can change this later in Settings > DVR.",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	914	Guide Days	text = "Guide Days",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	946	How many days of guide data to load, back and ahead. Dispatcharr only; other sources show what their guide carries.	text = "How many days of guide data to load, back and ahead. Dispatcharr only; other sources show what their guide carries.",
app/src/main/java/com/aeriotv/android/feature/search/SearchScreen.kt	164	Search for movies, shows, or EPG programs	title = "Search for movies, shows, or EPG programs",
app/src/main/java/com/aeriotv/android/feature/search/SearchScreen.kt	172	No results for “${state.query}”	title = "No results for “${state.query}”",
app/src/main/java/com/aeriotv/android/feature/search/SearchScreen.kt	173	Try a different search term or change the scope filter.	subtitle = "Try a different search term or change the scope filter.",
app/src/main/java/com/aeriotv/android/feature/splash/SplashScreen.kt	158	Live TV  ·  Movies  ·  Series	text = "Live TV  ·  Movies  ·  Series",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	365	No tiles selected.	text = "No tiles selected.",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	594	Streams hinzufügen	contentDescription = "Streams hinzufügen",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	608	Streams hinzufügen	label = "Streams hinzufügen",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	690	Add Channel	label = "Add Channel",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	712	Change Channel	label = "Change Channel",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	736	Remove Spotlight	label = if (isSpotlit) "Remove Spotlight" else "Spotlight This Tile",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	736	Spotlight This Tile	label = if (isSpotlit) "Remove Spotlight" else "Spotlight This Tile",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	807	Show Scrubber	label = if (scrubOn) "Hide Scrubber" else "Show Scrubber",
app/src/main/java/com/aeriotv/android/feature/multiview/MultiviewScreen.kt	896	Return to Live	label = "Return to Live",
