path	line	string	context
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	139	the Settings root	* opens. Used by the screenshot deep link; null means "the Settings root",
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	150	playlists	"playlists" -> SettingsRoute.Playlists
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	152	player	"player" -> SettingsRoute.Section(SettingsSection.Player)
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	153	movies	"movies" -> SettingsRoute.Section(SettingsSection.MoviesAndTvShows)
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	162	playlist-detail	"playlist-detail" -> activePlaylistId?.let { SettingsRoute.PlaylistDetail(it) }
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	242	playlists	is SettingsRoute.Playlists -> "playlists"
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	265	playlists	is SettingsRoute.Playlists -> "playlists"
app/src/main/java/com/aeriotv/android/feature/settings/SettingsRoute.kt	282	playlists	raw == "playlists" -> SettingsRoute.Playlists
app/src/main/java/com/aeriotv/android/feature/settings/SettingsScreen.kt	235	playlists	if (content != SettingsRootContent.AboutOnly) item("playlists") {
app/src/main/java/com/aeriotv/android/feature/settings/SettingsScreen.kt	308	AerioTV diagnostics	cm?.setPrimaryClip(android.content.ClipData.newPlainText("AerioTV diagnostics", text))
app/src/main/java/com/aeriotv/android/feature/settings/SettingsScreen.kt	502	Tap ○ to set the active playlist	// SettingsView footer hint "Tap ○ to set the active playlist".
app/src/main/java/com/aeriotv/android/feature/settings/SettingsScreen.kt	943	Debug-Protokollierung & Diagnose	subtitle = "Debug-Protokollierung & Diagnose",
app/src/main/java/com/aeriotv/android/ui/TmdbAttribution.kt	31	The Movie Database	contentDescription = "The Movie Database",
